fund_identifier,funds,fees,fund_company
BGI65,BlackRock LifePath 2065 (BGI65),0.01585924,Canada Life
BGIRT,BlackRock LifePath Retirement Fund (BGIRT),0.01516555,Canada Life
IGEIB,Islamic Global Equity Index Fund (IGEIB) ,0.02135148,Canada Life
LIBP,Global Bond Fund (LIBP),0.01713,Canada Life
CBR,Core Plus Bond Fund (CBR) **,0.01683,Canada Life
GECG,Global Equity Fund (GECG) ,0.02023,Canada Life
CCLB,Bond Fund (CCLB),0.015803,Canada Life
PCE,Equity Fund (PCE),0.016567,Canada Life
PCB,Balanced Fund (PCB),0.017054,Canada Life
IESR,International Equity Q Fund (IESR) **,0.020776,Canada Life
FCECC,Fundamental Canadian Equity Fund (FCECC),0.01633,Canada Life
DYPF,Partners Fund (DYPF),0.01973,Canada Life
CVDY,Canadian Value Fund (CVDY),0.01583,Canada Life
CP20,ClearPath 2020 Fund (CP20),0.017382816,Canada Life
CP25,ClearPath 2025 Fund (CP25),0.017387487,Canada Life
CP30,ClearPath 2030 Fund (CP30),0.017398439,Canada Life
CP35,ClearPath 2035 Fund (CP35),0.017410534,Canada Life
CP40,ClearPath 2040 Fund (CP40),0.017421962,Canada Life
CP45,ClearPath 2045 Fund (CP45),0.01743089,Canada Life
CP50,ClearPath 2050 Fund (CP50),0.01743171,Canada Life
CP55,ClearPath 2055 Fund (CP55),0.017432352,Canada Life
CP60,ClearPath 2060 Fund (CP60),0.017435265,Canada Life
CP65,ClearPath 2065 Fund (CP65),0.017619,Canada Life
CPIF,ClearPath Income Fund (CPIF),0.017403585,Canada Life
CBTF,Canadian Bond Trust (CBTF),0.0166372,Canada Life
CCEF,Canadian Core Equity Trust (CCEF),0.0166541,Canada Life
CBALF,Canadian Balanced Fund (CBALF),0.01883,Canada Life
S176,True North Fund (S176),0.01883,Canada Life
S191,Canadian Asset Allocation Fund (S191),0.01893,Canada Life
CDEF,Canadian Disciplined Equity Fund (CDEF),0.01883,Canada Life
CGCF,Canadian Growth Company Fund (CGCF),0.01883,Canada Life
USLC,US Large Cap Core Trust (USLC) ,0.0208201,Canada Life
GRAF,US Focused Stock (GRAF),0.01983,Canada Life
S184,Global Fund (S184),0.01983,Canada Life
CPBF,Canadian Core Plus Bond Fund (CPBF),0.017212595,Canada Life
AGGI,Tactical Asset Allocation Income Fund (AGGI),0.018053,Canada Life
CIP20,ClearPath Index Plus 2020 (CIP20),0.01563,Canada Life
CIP25,ClearPath Index Plus 2025 (CIP25),0.01563,Canada Life
CIP30,ClearPath Index Plus 2030 (CIP30),0.01563,Canada Life
CIP35,ClearPath Index Plus 2035 (CIP35),0.01563,Canada Life
CIP40,ClearPath Index Plus 2040 (CIP40),0.01563,Canada Life
CIP45,ClearPath Index Plus 2045 (CIP45),0.01563,Canada Life
CIP50,ClearPath Index Plus 2050 (CIP50),0.01563,Canada Life
CIP55,ClearPath Index Plus 2055 (CIP55),0.01563,Canada Life
CIP60,ClearPath Index Plus 2060 (CIP60),0.01563,Canada Life
CIP65,ClearPath Index Plus 2065 (CIP65),0.01563,Canada Life
CIPIF,ClearPath Index Plus Income (CIPIF),0.01563,Canada Life
CPP20,ClearPath Portfolio 2020 (CPP20),0.01833,Canada Life
CPP25,ClearPath Portfolio 2025 (CPP25),0.01833,Canada Life
CPP30,ClearPath Portfolio 2030 (CPP30),0.01833,Canada Life
CPP35,ClearPath Portfolio 2035 (CPP35),0.01833,Canada Life
CPP40,ClearPath Portfolio 2040 (CPP40),0.01833,Canada Life
CPP45,ClearPath Portfolio 2045 (CPP45),0.01833,Canada Life
CPP50,ClearPath Portfolio 2050 (CPP50),0.01833,Canada Life
CPP55,ClearPath Portfolio 2055 (CPP55),0.01833,Canada Life
CPP60,ClearPath Portfolio 2060 (CPP60),0.01833,Canada Life
CPP65,ClearPath Portfolio 2065 (CPP65),0.01833,Canada Life
CPPIF,ClearPath Portfolio Income (CPPIF),0.01833,Canada Life
PSB,Balanced Core Fund (PSB),0.01633,Canada Life
PSE,Equity Fund (PSE),0.01633,Canada Life
GSCGA,Global Small Cap Fund (GSCGA),0.022936,Canada Life
S209,Fixed Income Fund (S209),0.01543,Canada Life
S208,Balanced Fund (S208),0.01578,Canada Life
S289,Canadian Growth Fund (S289),0.01833,Canada Life
TRIG,Income Growth Fund (TRIG),0.01833,Canada Life
S329,US Companies Fund (S329),0.01833,Canada Life
TRGE,Global Equity Fund (TRGE),0.01833,Canada Life
BJF,Bond Fund (BJF),0.015622389,Canada Life
CEJF,Canadian Equity Fund (CEJF),0.015623559,Canada Life
BALJF,Balanced Fund (BALJF) ,0.015626,Canada Life
USEJF,US Equity Fund (USEJF),0.015611391,Canada Life
S311,Global Balanced Fund (S311),0.015612521,Canada Life
IEJF,International Equity Fund (IEJF),0.019866436,Canada Life
JPM25,Sustainable Target Date 2025 Fund (JPM25),0.01733,Canada Life
JPM30,Sustainable Target Date 2030 Fund (JPM30),0.01733,Canada Life
JPM35,Sustainable Target Date 2035 Fund (JPM35),0.01733,Canada Life
JPM40,Sustainable Target Date 2040 Fund (JPM40),0.01733,Canada Life
JPM45,Sustainable Target Date 2045 Fund (JPM45),0.01733,Canada Life
JPM50,Sustainable Target Date 2050 Fund (JPM50),0.01733,Canada Life
JPM55,Sustainable Target Date 2055 Fund (JPM55),0.01733,Canada Life
JPM60,Sustainable Target Date 2060 Fund (JPM60),0.01733,Canada Life
JPMIN,Sustainable Income Fund (JPMIN),0.01733,Canada Life
