fund_identifier,funds,returns,fund_company,fund_type
2765,Manulife Retirement Date Index+ 2065 Fund34,-0.92,Manulife,Available
3131,Manulife Money Fund (MIM),0.38,Manulife,Available
3132,Manulife Canadian Money Market Fund (MIM),0.38,Manulife,Available
3191,Manulife Daily High Interest Fund,0.19,Manulife,Available
3501,Manulife Franklin Canadian Money Market Fund,0.34,Manulife,Available
4012,Manulife Multi-Manager Canadian Bond Fund,-0.6,Manulife,Available
4013,Manulife SP Funds Dow Jones Global Sukuk ETF Fund,2.54,Manulife,Available
4101,Manulife Foresters Canadian Bond Fund,-0.6,Manulife,Available
4131,Manulife Canadian Bond Fund (MIM),-0.6,Manulife,Available
4132,Manulife MIM Canadian Core Fixed Income Fund,-0.53,Manulife,Available
4133,Manulife MIM Canadian Long Duration Fixed Income Fund,-2.67,Manulife,Available
4136,Manulife MIM Strategic Fixed Income Fund,-0.56,Manulife,Available
4138,Manulife MIM Canadian Core Plus Fixed Income Fund,-0.63,Manulife,Available
4139,Manulife AlphaFixe ESG Return Plus Fund,-0.88,Manulife,Available
4140,Manulife AlphaFixe ESG Green Bond Fund,-0.81,Manulife,Available
4141,Manulife Fidelity Canadian Bond Fund,-0.39,Manulife,Available
4142,Manulife FIAM Canadian Bond Fund,-0.44,Manulife,Available
4143,Manulife FIAM Canadian Bond Core Plus Fund,-0.55,Manulife,Available
4161,Manulife MFS Fixed Income Fund,-0.62,Manulife,Available
4162,Manulife MFS Long Term Fixed Income Fund,-2.58,Manulife,Available
4173,Manulife Canso Corporate Bond Fund,-0.1,Manulife,Available
4191,Manulife MIM Canadian Bond Index Fund,-0.7,Manulife,Available
4192,Manulife Fixed Income Plus Fund (AllianceBernstein)5,-0.66,Manulife,Available
4202,Manulife CIBC Canadian Bond Core Plus Fund,-0.7,Manulife,Available
4231,Manulife CI Canadian Core Bond Fund,-0.6,Manulife,Available
4242,Manulife Jarislowsky Fraser Bond Fund,-0.68,Manulife,Available
4271,Manulife PH&N Bond Fund,-0.77,Manulife,Available
4273,Manulife PH&N Short Term Bond & Mortgage Fund,0.32,Manulife,Available
4274,Manulife PH&N LongTerm Bond Fund,-2.63,Manulife,Available
4280,Manulife PH&N Core Plus Bond Fund,-0.75,Manulife,Available
4292,Manulife Guardian Bond Fund,-0.69,Manulife,Available
4322,Manulife BlackRock Long Bond Index Fund,-2.69,Manulife,Available
4323,Manulife BlackRock Canada Universe Bond Index Fund,-0.7,Manulife,Available
4341,Manulife abrdn Emerging Markets Debt Fund,-1.76,Manulife,Available
4372,Manulife AllianceBernstein Canadian Core Plus Bond Fund,-0.6,Manulife,Available
4413,Manulife Brandywine Global Fixed Income Fund,-2.05,Manulife,Available
4442,Manulife MIM Canadian Corporate Fixed Income Fund,0.0,Manulife,Available
4444,Manulife MMF Strategic Investment Grade Global Bond Fund,-0.46,Manulife,Available
4446,Manulife MMF US Unconstrained Bond Fund,0.04,Manulife,Available
4447,Manulife MMF Global Unconstrained Bond Fund,-0.01,Manulife,Available
4501,Manulife Franklin Canadian Core Plus Bond Fund,-0.7,Manulife,Available
4503,Manulife Templeton Global Bond Fund,-1.75,Manulife,Available
4632,Manulife Beutel Goodman Fixed Income Fund,-0.74,Manulife,Available
4660,Manulife Canadian Mortgage Fund,0.4,Manulife,Available
4661,Manulife MIM Short Term Bond Fund,0.37,Manulife,Available
4663,Manulife MIM Real Return Bond Fund5,-0.77,Manulife,Available
4701,Manulife Fiera Capital Tactical Fixed Income Fund,-0.71,Manulife,Available
4702,Manulife Fiera Capital Active Fixed Income Fund,-0.65,Manulife,Available
4703,Manulife Fiera Capital Bond Fund,-0.65,Manulife,Available
4981,Manulife Quantitative Universe Bond Fund (Optimum),-0.62,Manulife,Available
4991,Manulife PIMCO Canadian Core Plus Bond Fund,-0.86,Manulife,Available
5011,Manulife Balanced Fund3,-0.73,Manulife,Available
5012,Manulife Multi-Manager Balanced Fund3,-1.41,Manulife,Available
5091,Manulife Franklin Canadian Balanced Fund3,-1.46,Manulife,Available
5121,Manulife NEI Global Sustainable Balanced Fund3,-2.1,Manulife,Available
5132,Manulife MMF Monthly High Income Fund3,-1.2,Manulife,Available
5141,Manulife Fidelity Canadian Asset Allocation Fund3,-2.93,Manulife,Available
5161,Manulife MFS Balanced Growth Fund3,-1.33,Manulife,Available
5162,Manulife MFS Responsible Balanced Fund35,-1.35,Manulife,Available
5163,Manulife MFS Balanced Value Fund3,-1.8,Manulife,Available
5164,Manulife MFS Balanced Fund3,-1.17,Manulife,Available
5181,Manulife Invesco Income Growth Fund3,-3.06,Manulife,Available
5233,Manulife CI Canadian Balanced Fund3,-1.54,Manulife,Available
5241,Manulife Jarislowsky Fraser Balanced Fund (Registered Plans Only)3,-0.99,Manulife,Available
5271,Manulife PH&N Balanced Pension Trust Fund3,-1.18,Manulife,Available
5291,Manulife Guardian Ethical Balanced SRI Fund3,-1.15,Manulife,Available
5292,Manulife Guardian Managed Balanced Fund3,-0.74,Manulife,Available
5301,Manulife Leith Wheeler Diversified Pooled Fund (Registered Plans Only)3,-1.52,Manulife,Available
5302,Manulife Leith Wheeler Diversified Pooled Fund3,-1.56,Manulife,Available
5313,Manulife CC&L Group Balanced Plus Fund3,-0.53,Manulife,Available
5441,Manulife MMF Fundamental Income Fund3,-2.02,Manulife,Available
5444,Manulife MMF Global Strategic Balanced Yield Fund,-1.22,Manulife,Available
5445,Manulife MMF Global Monthly High Income Fund,-0.82,Manulife,Available
5446,Manulife MMF Yield Opportunities Fund,-0.5,Manulife,Available
5452,Manulife Mawer Balanced Fund355,-1.25,Manulife,Available
5585,Manulife FGP Diversified Fund3,-1.17,Manulife,Available
5631,Manulife Beutel Goodman Balanced Fund3,-1.69,Manulife,Available
5661,Manulife MIM Diversified Fund3,-1.06,Manulife,Available
5682,Manulife MFS Balanced Growth Fund II3,-1.33,Manulife,Available
5702,Manulife Fiera Capital SRI Balanced Fund3,-0.59,Manulife,Available
5703,Manulife Fiera Capital Balanced Fund3,-0.85,Manulife,Available
5972,Manulife NEI Select Balanced RS Portfolio Fund II3,-0.82,Manulife,Available
6203,Manulife Group IncomePlus Balanced Asset Allocation Fund,-0.91,Manulife,Available
7011,Manulife Canadian Equity Fund5,-2.82,Manulife,Available
7012,Manulife Multi-Manager Canadian Large Cap Growth Fund,-2.67,Manulife,Available
7013,Manulife Multi-Manager Canadian Large Cap Core Fund,-2.84,Manulife,Available
7014,Manulife Multi-Manager Canadian Large Cap Value Fund,-3.08,Manulife,Available
7021,Manulife QV Canadian Equity Fund,-2.1,Manulife,Available
7032,Manulife Montrusco Bolton Canadian Small Capitalization Equity Fund,-2.82,Manulife,Available
7081,Manulife Triasima Canadian Equity Fund,-2.59,Manulife,Available
7121,Manulife MIM Canadian Large Cap Growth Fund,-3.45,Manulife,Available
7122,Manulife MMF Growth Opportunities Fund,-3.05,Manulife,Available
7125,Manulife NEI Canadian Equity RS Fund,-2.1,Manulife,Available
7131,Manulife Canadian Large Cap Value Equity Fund (MIM),-3.84,Manulife,Available
7132,Manulife MIM Canadian Equity Index Fund,-3.28,Manulife,Available
7136,Manulife MIM Canadian Core Equity Focused Fund,-2.4,Manulife,Available
7141,Manulife Fidelity Canadian Large Cap Fund,-1.15,Manulife,Available
7142,Manulife Fidelity Canadian Core Equity Institutional Fund,-4.01,Manulife,Available
7143,Manulife Fidelity True North Fund,-2.56,Manulife,Available
7144,Manulife Fidelity Canadian Disciplined Equity Fund,-3.63,Manulife,Available
7146,Manulife FIAM Canadian Focused Equity Fund,-3.28,Manulife,Available
7149,Manulife Fidelity Canadian Growth Company Fund,-1.74,Manulife,Available
7161,Manulife MFS Canadian Equity Fund,-3.13,Manulife,Available
7163,Manulife MFS Low Volatility Canadian Equity Fund,-2.42,Manulife,Available
7164,Manulife MFS Canadian Research Equity Fund,-3.01,Manulife,Available
7181,Manulife Invesco Canadian Fund,-3.82,Manulife,Available
7232,Manulife CI Canadian All Cap Equity Fund,-2.93,Manulife,Available
7241,Manulife Jarislowsky Fraser Canadian Equity Fund,-1.78,Manulife,Available
7272,Manulife PH&N Canadian Equity Fund,-3.19,Manulife,Available
7282,Manulife Russell Canadian Equity Fund,-3.28,Manulife,Available
7293,Manulife Guardian Canadian Growth Equity Fund,-3.49,Manulife,Available
7294,Manulife Guardian Canadian Equity Fund,-2.5,Manulife,Available
7313,Manulife CC&L Group Canadian Q Growth Fund,-2.83,Manulife,Available
7314,Manulife CC&L Equity Income & Growth Fund,-2.02,Manulife,Available
7316,Manulife CC&L Group Fundamental Canadian Equity Fund,-2.56,Manulife,Available
7321,Manulife BlackRock Active Canadian Equity Fund,-2.97,Manulife,Available
7322,Manulife BlackRock Canadian Equity Index Fund,-3.27,Manulife,Available
7382,Manulife FGP Canadian Equity Fund,-3.07,Manulife,Available
7441,Manulife MMF Canadian Dividend Growth Fund,-2.83,Manulife,Available
7442,Manulife MMF Fundamental Dividend Fund,-2.95,Manulife,Available
7451,Manulife Mawer Canadian Equity Fund,-2.56,Manulife,Available
7502,Manulife Franklin ClearBridge Canadian Equity Fund,-2.82,Manulife,Available
7503,Manulife Franklin ClearBridge Canadian Small Cap Fund,-1.82,Manulife,Available
7601,Manulife Scheer Rowlett Canadian Equity Fund,-3.15,Manulife,Available
7631,Manulife Beutel Goodman Canadian Equity Fund5,-2.38,Manulife,Available
7632,Manulife Beutel Goodman Fundamental Canadian Equity Fund,-2.35,Manulife,Available
7636,Manulife Beutel Goodman Fundamental Canadian Equity Fund II,-2.35,Manulife,Available
7661,Manulife MIM Canadian Core Equity Fund,-2.97,Manulife,Available
7701,Manulife Fiera Capital Canadian Equity Fund,-2.96,Manulife,Available
7702,Manulife Fiera Capital Canada Plus Equity Fund,-2.06,Manulife,Available
7761,Manulife GE Asset Management Canadian Equity Fund,-2.95,Manulife,Available
7811,Manulife TD Dividend Growth Fund,-2.57,Manulife,Available
7812,Manulife TD Emerald Low Volatility Canadian Equity Fund,-2.66,Manulife,Available
7971,Manulife NEI Canadian Equity RS Fund II,-2.09,Manulife,Available
7973,Manulife NEI ESG Canadian Enhanced Index Fund,-3.16,Manulife,Available
8013,Manulife Multi-Manager US Equity Fund,-1.84,Manulife,Available
8014,Manulife Multi-Manager International Equity Fund,-0.05,Manulife,Available
8015,Manulife Multi-Manager Global Equity Fund,-0.6,Manulife,Available
8016,Manulife SP Funds Shariah S&P 500 ETF Fund,2.72,Manulife,Available
8051,Manulife Schroders Emerging Markets Equity Fund,2.43,Manulife,Available
8113,Manulife AGF Emerging Markets Equity Fund,0.9,Manulife,Available
8114,Manulife AGF Global Equity Fund9,-1.5,Manulife,Available
8115,Manulife AGF American Growth Equity,-2.55,Manulife,Available
8121,Manulife NEI US Equity RS Fund,0.73,Manulife,Available
8131,Manulife MIM US Equity Index Fund,0.24,Manulife,Available
8132,Manulife MIM US Large Cap Core Fund,0.52,Manulife,Available
8136,Manulife MIM Global Equity II Fund,-1.81,Manulife,Available
8137,Manulife MIM Emerging Markets Equity Fund,2.42,Manulife,Available
8139,Manulife MIM Global Small Cap Equity Fund,-3.07,Manulife,Available
8141,Manulife Fidelity Global Fund,-0.77,Manulife,Available
8142,Manulife Fidelity US Stock Focused Fund,-1.39,Manulife,Available
8143,Manulife Fidelity American Disciplined Equity Fund,0.36,Manulife,Available
8161,Manulife MFS Global Equity Growth Fund5,-0.39,Manulife,Available
8162,Manulife MFS International Equity Fund5,0.2,Manulife,Available
8163,Manulife MFS US Equity Core Fund I5,-0.52,Manulife,Available
8181,Manulife Invesco Global Companies Fund,-0.34,Manulife,Available
