fund_identifier,funds,fees,fund_company
FOUSA08PDZ,SL Granite Conservative Seg Fund,0.01205,Sun Life
F00000Q62F,SL Granite Enhanced Income Seg Fund,0.0134,Sun Life
FOUSA08PE2,SL Granite Growth Seg Fund,0.0121,Sun Life
F00000Q62E,SL Granite Income Seg Fund,0.0129,Sun Life
FOUSA08PE0,SL Granite Moderate Seg Fund,0.01205,Sun Life
FOUSA08ZG4,SL Granite Retirement Seg Fund,0.0123,Sun Life
F00001DDU7,SL KBI Glbl Sustainable Infrastr Seg Fd,0.0164,Sun Life
F00000JSEX,SL MFS Global Growth Seg Fund,0.014,Sun Life
F00000JSEW,SL MFS Global Value Seg Fund,0.0141,Sun Life
F00000JSEY,SL MFS International Growth Seg Fund,0.0141,Sun Life
F00000WUXJ,SL MFS Low Vol Int'l Equity Seg Fund,0.0131,Sun Life
FOUSA06OLB,SL MFS U.S. Equity Seg Fund,0.01215,Sun Life
F00000JSEU,SL MFS U.S. Growth Seg Fund,0.01245,Sun Life
F00000JSEV,SL MFS U.S. Value Seg Fund,0.0126,Sun Life
F00000MSJU,SL Multi-Strategy Bond Seg Fund,0.0113,Sun Life
F0000102IW,SL Multi-Strategy Cdn Equity Seg Fund,0.011742,Sun Life
F0000102IX,SL Multi-Strategy Global Equity Seg Fund,0.013992,Sun Life
F000014H4D,SL Multi-Strategy Real Asset Seg Fund,0.0156,Sun Life
F00000XBW8,SL Opportunistic Fixed Income Seg Fund,0.0151,Sun Life
F00000MSJV,SL PH&N Long Bond Seg Fund,0.01095,Sun Life
F00000MSJT,SL PH&N Short Bond Seg Fund,0.0115,Sun Life
F00000MSK0,SL Schroder Emerging Markets Seg Fund,0.017,Sun Life
F000011P5T,SL Unconstrained International Eq Seg Fd,0.0141,Sun Life
FOUSA06ORN,SLF Money Market Segregated Fund,0.0084,Sun Life
F00000VIQH,T Rowe Global Growth Equity Seg Fund,0.0144,Sun Life
F00000YT9Z,T Rowe US LC Core Growth Seg Fund,0.0127,Sun Life
F00000XDOW,T Rowe US LC Core Growth Seg Fund (Reg),0.013,Sun Life
F00000Q62C,TDAM Active Cdn Corporate Bond Seg Fund,0.011183,Sun Life
FOUSA06ORT,TDAM Canadian Bond Index Segregated Fund,0.009252,Sun Life
F00000Q62D,TDAM Canadian Core Plus Bond Seg Fund,0.011095,Sun Life
FOUSA06ORU,TDAM Cdn Balanced Index Segregated Fund,0.009537,Sun Life
FOUSA06ORV,TDAM Cdn Equity Index Segregated Fund,0.009246,Sun Life
FOUSA06ORW,TDAM Cdn Long Bond Index Segregated Fund,0.009311,Sun Life
F00000SA73,TDAM Global Eq Shareholder Yield Seg Fd Reg,0.014871,Sun Life
F000016OJ8,TDAM Global Eq Shareholder Yield Seg Fd,0.014871,Sun Life
FOUSA06OJZ,TDAM Global Equity Index Segregated Fund,0.010168,Sun Life
FOUSA06OM5,TDAM Hedged U.S. Market Index Seg Fund,0.009915,Sun Life
FOUSA06OM7,TDAM Int'l Equity Index Segregated Fund,0.010104,Sun Life
F00000YT9Q,TDAM Low Vol Global Equity Seg Fund,0.010793,Sun Life
F00000YT9O,TDAM Low Volatility U.S. Equity Seg Fund,0.0105,Sun Life
F00000TWBF,TDAM U.S. Market Index Seg Fund (Reg),0.009234,Sun Life
FOUSA06OMB,TDAM US Market Index Segregated Fund,0.00932,Sun Life
F00000MSJW,Templeton Global Bond Segregated Fund,0.0135,Sun Life
F00001F78H,Fidelity ClearPath 2065 Port Seg Fund,0.012789,Sun Life
F00001E2BX,SL Granite 2065 Seg Fund,0.0126,Sun Life
F00001G9DG,SL Granite Conservative Retirement Sg Fd,0.0125,Sun Life
F00001E2BY,SL Granite 2065 Conservative Seg Fund,0.0126,Sun Life
F00001GOLV,SL Granite Moderate Retirement Fund,0.0123,Sun Life
F00001E2C0,SL Granite 2065 Moderate Seg Fund,0.0126,Sun Life
F00001G9DH,SL Granite Aggressive Retirement Seg Fd,0.0125,Sun Life
F00001E2BZ,SL Granite 2065 Aggressive Seg Fund,0.0126,Sun Life
F00000X1AA,TD Greystone Retirement Plus Seg Fund,0.012896,Sun Life
F00000X1A3,TD Greystone 2025 Target Date Plus Sg Fd,0.012897,Sun Life
F00000X1A4,TD Greystone 2030 Target Date Plus Sg Fd,0.012894,Sun Life
F00000X1A5,TD Greystone 2035 Target Date Plus Sg Fd,0.012893,Sun Life
F00000X1A6,TD Greystone 2040 Target Date Plus Sg Fd,0.012895,Sun Life
