fund_identifier,funds,returns,fund_type,fund_company
FU884BRUT,LifePath Retirement Index I,-1.967145,Available,Industrial Alliance
FU879BRUT,LifePath 2025 Index,-1.9736779999999998,Available,Industrial Alliance
FU880BRUT,LifePath 2030 Index,-1.973572,Available,Industrial Alliance
FU881BRUT,LifePath 2035 Index,-1.974761,Available,Industrial Alliance
FU882BRUT,LifePath 2040 Index,-1.9975,Available,Industrial Alliance
FU883BRUT,LifePath 2045 Index,-2.002132,Available,Industrial Alliance
FU894BRUT,LifePath 2050 Index,-2.025875,Available,Industrial Alliance
FU912BRUT,LifePath 2055 Index,-2.043288,Available,Industrial Alliance
FU927BRUT,LifePath 2060 Index,-2.038909,Available,Industrial Alliance
FU949BRUT,LifePath 2065 Index,-1.9887079999999997,Available,Industrial Alliance
FU411BRUT,ClearPath Income,-0.9222299999999999,Available,Industrial Alliance
FU412BRUT,ClearPath 2020,-1.344452,Available,Industrial Alliance
FU413BRUT,ClearPath 2025,-1.346736,Available,Industrial Alliance
FU414BRUT,ClearPath 2030,-1.327726,Available,Industrial Alliance
FU415BRUT,ClearPath 2035,-1.268229,Available,Industrial Alliance
FU416BRUT,ClearPath 2040,-1.204416,Available,Industrial Alliance
FU417BRUT,ClearPath 2045,-1.134308,Available,Industrial Alliance
FU418BRUT,ClearPath 2050,-1.136458,Available,Industrial Alliance
FU419BRUT,ClearPath 2055,-1.131277,Available,Industrial Alliance
FU721BRUT,ClearPath 2060,-1.111695,Available,Industrial Alliance
FU720BRUT,ClearPath 2065,-1.137864,Available,Industrial Alliance
FU9000BRUT,Conservative - Attitude 2006-2010,-1.6379299999999999,Available,Industrial Alliance
FU9546BRUT,Conservative - Attitude 2011-2015,-1.63678,Available,Industrial Alliance
FU9001BRUT,Conservative - Attitude 2016-2020,-1.6347500000000001,Available,Industrial Alliance
FU9547BRUT,Conservative - Attitude 2021-2025,-1.63378,Available,Industrial Alliance
FU9002BRUT,Conservative - Attitude 2026-2030,-1.6345399999999999,Available,Industrial Alliance
FU9548BRUT,Conservative - Attitude 2031-2035,-1.6388899999999902,Available,Industrial Alliance
FU9003BRUT,Conservative - Attitude 2036-2040,-1.64885,Available,Industrial Alliance
FU9549BRUT,Conservative - Attitude 2041-2045,-1.67393,Available,Industrial Alliance
FU9004BRUT,Conservative - Attitude 2046-2050,-1.7060100000000002,Available,Industrial Alliance
FU9550BRUT,Conservative - Attitude 2051-2055,-1.72642,Available,Industrial Alliance
FU9339BRUT,Conservative - Attitude 2056-2060,-1.7415500000000002,Available,Industrial Alliance
FUA005BRUT,Conservative - Attitude 2061-2065,-1.7415500000000002,Available,Industrial Alliance
FUA134BRUT,Conservative - Attitude 2066-2070,-1.7415500000000002,Available,Industrial Alliance
FU9005BRUT,Moderate - Attitude 2006-2010,-1.63791,Available,Industrial Alliance
FU9553BRUT,Moderate - Attitude 2011-2015,-1.63667,Available,Industrial Alliance
FU9006BRUT,Moderate - Attitude 2016-2020,-1.63485,Available,Industrial Alliance
FU9554BRUT,Moderate - Attitude 2021-2025,-1.63488,Available,Industrial Alliance
FU9007BRUT,Moderate - Attitude 2026-2030,-1.6375999999999902,Available,Industrial Alliance
FU9555BRUT,Moderate - Attitude 2031-2035,-1.6428600000000002,Available,Industrial Alliance
FU9008BRUT,Moderate - Attitude 2036-2040,-1.65364,Available,Industrial Alliance
FU9556BRUT,Moderate - Attitude 2041-2045,-1.6801199999999998,Available,Industrial Alliance
FU9009BRUT,Moderate - Attitude 2046-2050,-1.7162199999999999,Available,Industrial Alliance
FU9557BRUT,Moderate - Attitude 2051-2055,-1.74104,Available,Industrial Alliance
FU9340BRUT,Moderate - Attitude 2056-2060,-1.75921,Available,Industrial Alliance
FUA004BRUT,Moderate - Attitude 2061-2065,-1.75921,Available,Industrial Alliance
FUA133BRUT,Moderate - Attitude 2066-2070,-1.75921,Available,Industrial Alliance
FU9010BRUT,Balanced - Attitude 2006-2010,-1.63515,Available,Industrial Alliance
FU9560BRUT,Balanced - Attitude 2011-2015,-1.63464,Available,Industrial Alliance
FU9011BRUT,Balanced - Attitude 2016-2020,-1.63375,Available,Industrial Alliance
FU9561BRUT,Balanced - Attitude 2021-2025,-1.6337000000000002,Available,Industrial Alliance
FU9012BRUT,Balanced - Attitude 2026-2030,-1.63787,Available,Industrial Alliance
FU9562BRUT,Balanced - Attitude 2031-2035,-1.6482,Available,Industrial Alliance
FU9013BRUT,Balanced - Attitude 2036-2040,-1.6664100000000002,Available,Industrial Alliance
FU9563BRUT,Balanced - Attitude 2041-2045,-1.69274,Available,Industrial Alliance
FU9014BRUT,Balanced - Attitude 2046-2050,-1.7248200000000002,Available,Industrial Alliance
FU9564BRUT,Balanced - Attitude 2051-2055,-1.74549,Available,Industrial Alliance
FU9341BRUT,Balanced - Attitude 2056-2060,-1.75984,Available,Industrial Alliance
FUA003BRUT,Balanced - Attitude 2061-2065,-1.75984,Available,Industrial Alliance
FUA132BRUT,Balanced - Attitude 2066-2070,-1.75984,Available,Industrial Alliance
FU9015BRUT,Growth - Attitude 2006-2010,-1.6316999999999902,Available,Industrial Alliance
FU9567BRUT,Growth - Attitude 2011-2015,-1.63138,Available,Industrial Alliance
FU9016BRUT,Growth - Attitude 2016-2020,-1.63126,Available,Industrial Alliance
FU9568BRUT,Growth - Attitude 2021-2025,-1.6335,Available,Industrial Alliance
FU9017BRUT,Growth - Attitude 2026-2030,-1.64002,Available,Industrial Alliance
FU9569BRUT,Growth - Attitude 2031-2035,-1.65771,Available,Industrial Alliance
FU9018BRUT,Growth - Attitude 2036-2040,-1.67687,Available,Industrial Alliance
FU9570BRUT,Growth - Attitude 2041-2045,-1.70299,Available,Industrial Alliance
FU9019BRUT,Growth - Attitude 2046-2050,-1.7346199999999998,Available,Industrial Alliance
FU9571BRUT,Growth - Attitude 2051-2055,-1.75374,Available,Industrial Alliance
FU9342BRUT,Growth - Attitude 2056-2060,-1.7661899999999902,Available,Industrial Alliance
FUA002BRUT,Growth - Attitude 2061-2065,-1.7661899999999902,Available,Industrial Alliance
FUA131BRUT,Growth - Attitude 2066-2070,-1.7661899999999902,Available,Industrial Alliance
FU9020BRUT,Aggressive - Attitude 2006-2010,-1.6287699999999998,Available,Industrial Alliance
FU9574BRUT,Aggressive - Attitude 2011-2015,-1.6284,Available,Industrial Alliance
FU9021BRUT,Aggressive - Attitude 2016-2020,-1.6283599999999998,Available,Industrial Alliance
FU9575BRUT,Aggressive - Attitude 2021-2025,-1.6329699999999998,Available,Industrial Alliance
FU9022BRUT,Aggressive - Attitude 2026-2030,-1.64412,Available,Industrial Alliance
FU9576BRUT,Aggressive - Attitude 2031-2035,-1.66095,Available,Industrial Alliance
FU9023BRUT,Aggressive - Attitude 2036-2040,-1.67777,Available,Industrial Alliance
FU9577BRUT,Aggressive - Attitude 2041-2045,-1.70553,Available,Industrial Alliance
FU9024BRUT,Aggressive - Attitude 2046-2050,-1.7384400000000002,Available,Industrial Alliance
FU9578BRUT,Aggressive - Attitude 2051-2055,-1.75717,Available,Industrial Alliance
FU9343BRUT,Aggressive - Attitude 2056-2060,-1.7691100000000002,Available,Industrial Alliance
FUA001BRUT,Aggressive - Attitude 2061-2065,-1.7691100000000002,Available,Industrial Alliance
FUA130BRUT,Aggressive - Attitude 2066-2070,-1.7691100000000002,Available,Industrial Alliance
